iter	Passed	Remaining
270	602	1620
271	604	1617
272	606	1614
273	608	1611
274	610	1608
275	612	1605
276	614	1603
277	616	1601
278	618	1598
279	620	1595
280	622	1592
281	624	1588
282	625	1585
283	627	1581
284	629	1579
285	631	1576
286	633	1572
287	634	1569
288	636	1566
289	638	1562
290	640	1559
291	642	1556
292	643	1553
293	645	1549
294	646	1545
295	648	1542
296	650	1540
297	652	1537
298	654	1535
299	656	1532
300	658	1529
301	660	1526
302	662	1523
303	663	1519
304	665	1516
305	667	1513
306	669	1510
307	671	1507
308	672	1504
309	674	1501
310	676	1498
311	677	1494
312	680	1492
313	682	1490
314	684	1487
315	685	1484
316	687	1481
317	689	1478
318	691	1475
319	693	1472
320	694	1469
321	696	1466
322	697	1462
323	699	1459
324	701	1457
325	703	1454
326	705	1451
327	706	1448
328	708	1445
329	710	1442
330	712	1440
331	714	1437
332	715	1434
333	717	1431
334	719	1428
335	721	1425
336	723	1423
337	725	1420
338	726	1416
339	728	1414
340	730	1411
341	732	1408
342	733	1405
343	735	1402
344	736	1399
345	738	1396
346	740	1393
347	742	1390
348	744	1387
349	745	1385
350	747	1382
351	749	1379
352	751	1376
353	752	1373
354	754	1371
355	756	1368
356	758	1365
357	759	1362
358	761	1360
359	763	1357
360	765	1354
361	767	1352
362	768	1349
363	770	1346
364	772	1344
365	774	1342
366	776	1339
367	778	1336
368	779	1333
369	781	1331
370	783	1328
371	785	1326
372	787	1323
373	789	1320
374	790	1318
375	792	1315
376	794	1312
377	795	1309
378	797	1306
379	799	1303
380	800	1301
381	802	1298
382	804	1295
383	805	1292
384	807	1290
385	809	1288
386	811	1285
387	812	1282
388	814	1279
389	816	1277
390	818	1274
391	820	1272
392	822	1270
393	824	1267
394	825	1264
395	827	1262
396	829	1259
397	831	1257
398	833	1255
399	835	1252
400	837	1250
401	838	1248
402	840	1245
403	842	1243
404	844	1240
405	846	1238
406	847	1235
407	849	1232
408	851	1229
409	852	1227
410	854	1224
411	856	1221
412	857	1219
413	859	1216
414	861	1214
415	863	1212
416	865	1209
417	867	1207
418	869	1205
419	871	1203
420	873	1201
421	875	1199
422	877	1196
423	879	1194
424	881	1192
425	882	1189
426	884	1186
427	886	1184
428	888	1182
429	889	1179
430	891	1176
431	893	1174
432	895	1172
433	896	1169
434	898	1166
435	900	1164
436	902	1162
437	904	1160
438	906	1157
439	907	1155
440	909	1153
441	911	1150
442	913	1148
443	915	1145
444	916	1143
445	918	1140
446	920	1138
447	922	1136
448	923	1133
449	925	1131
450	927	1128
451	928	1126
452	930	1123
453	932	1121
454	933	1118
